page,table_id,col_1,col_2
12,1,"Soutenabilité
de la dette","Stabilisation
(macro)
économique"
12,1,++,-
12,1,+,-
12,1,++,++
12,1,++,+++
12,1,+++,-
12,1,+,++
12,1,,
12,1,-,-
12,1,+,+
12,1,+,++
14,1,"tnatimil uo( )ecnassiorc
esnepéd
elgèR
al as",0 0 0 0 0 0 0 0 0 0 0 0 0 0,0
14,1,"tnatrop
etted
al
elgèR
rus",0 0 1 1 1 1 1 1 0 0 0 1 0 0,45
14,1,"erbiliuqé’d eriatégdub
elgèR",0 1 1 1 1 1 1 1 0 0 0 0 1 0,26
14,1,"elgèr
ecnesérP
enu’d",0 1 1 1 1 1 1 1 0 0 0 1 1 0,96
18,1,BN,,0,0,1,,0,1,0,,0,0,0,2
18,1,CQ,,1,0,1,,0,0,0,,0,0,0,2
18,1,NO,,1,0,1,,0,0,0,,0,0,0,2
18,1,NM,,0,0,1,,0,0,0,,0,1,0,2
18,1,KS,,1,0,1,,0,0,0,,0,0,0,2
18,1,BA,,1,1,0,,0,0,0,,1,0,1,4
18,1,BC,,1,0,0,,0,0,0,,1,1,0,3
18,1,larédéF,,0,0,0,,0,0,0,,0,0,0,0
19,1,"secnivorp )2102(
seriotirret
elgèr
sed
te ceva
%",,64,8,83,,8,51,0,,32,51,51,
19,1,VN,,0,0,0,,0,0,0,,0,0,0,0
19,1,ONT,,0,0,0,,0,0,0,,0,0,0,0
19,1,KY,,1,0,0,,1,1,0,,1,0,1,5
19,1,LNT,,0,0,0,,0,0,0,,0,0,0,0
19,1,ÉPI,,0,0,0,,0,0,0,,0,0,0,0
28,1,3,
28,1,"1
2
4",
28,2,"4
3",
28,2,1 2,
28,3,2,
28,3,1,
29,1,2,
29,1,1,
29,2,"2
1",
29,2,,
29,3,,
29,3,"1
2",
30,1,3,
30,1,"2
1",
30,2,,
30,2,"1
2",
30,3,,
30,3,,
31,1,,
31,1,,
31,2,1,
31,2,,
31,3,,
31,3,1,
32,1,,
32,1,,
