page,table_id,col_1,col_2
3,1,Sous-secteur disciplinaire,Premier cycle
3,1,"Médecine dentaire
Médecine vétérinaire
Optométrie
Paramédical sauf nursing
et pharmacie
Sciences infirmières
Pharmacie
Sciences pures sauf
mathématiques
Mathématiques
Architecture et design de
l’environnement
Génie
Informatique
Agriculture, foresterie et géodésie
Sciences humaines et sociales
sauf géographie
Géographie
Éducation
Éducation physique
Administration
Beaux-arts
Cinéma et photographie
Musique
Lettres
Droit
Médecine","13 314 $
15 386 $
9 702 $
4 231 $
2 735 $
2 735 $
3 889 $
2 735 $
3 483 $
3 889 $
2 735 $
8 356 $
2 222 $
3 889 $
3 099 $
3 889 $
2 222 $
5 065 $
3 483 $
5 663 $
2 137 $
2 735 $
6 069 $"
28,1,Sous-secteur disciplinaire,"Premier
cycle","Deuxième
cycle"
28,1,Médecine dentaire,"6,23","5,00"
28,1,Médecine vétérinaire,"7,20","7,00"
28,1,Optométrie,"4,54","5,00"
28,1,"Paramédical sauf nursing et
pharmacie","1,98","5,00"
28,1,Sciences infirmières,"1,28","2,00"
28,1,Pharmacie,"1,28","2,00"
28,1,"Sciences pures sauf
mathématiques","1,82","5,00"
28,1,Mathématiques,"1,28","3,50"
28,1,"Architecture et design de
l’environnement","1,63","3,50"
28,1,Génie,"1,82","3,50"
28,1,Informatique,"1,28","2,00"
28,1,"Agriculture, foresterie et
géodésie","3,91","7,00"
28,1,"Sciences humaines et sociales
sauf géographie","1,04","3,50"
28,1,Géographie,"1,82","5,00"
28,1,Éducation,"1,45","2,00"
28,1,Éducation physique,"1,82","3,50"
28,1,Administration,"1,04","2,00"
28,1,Beaux-arts,"2,37","3,50"
28,1,Cinéma et photographie,"1,63","3,50"
28,1,Musique,"2,65","3,50"
28,1,Lettres,"1,00","3,50"
28,1,Droit,"1,28","3,50"
28,1,Médecine,"2,84","5,00"
31,1,Sous-secteur disciplinaire,Premier cycle
31,1,Médecine dentaire,13 314 $
31,1,Médecine vétérinaire,15 386 $
31,1,Optométrie,9 702 $
31,1,"Paramédical sauf nursing et
pharmacie",4 231 $
31,1,Sciences infirmières,2 735 $
31,1,Pharmacie,2 735 $
31,1,Sciences pures sauf mathématiques,3 889 $
31,1,Mathématiques,2 735 $
31,1,"Architecture et design de
l’environnement",3 483 $
31,1,Génie,3 889 $
31,1,Informatique,2 735 $
31,1,"Agriculture, foresterie et géodésie",8 356 $
31,1,"Sciences humaines et sociales
sauf géographie",2 222 $
31,1,Géographie,3 889 $
31,1,Éducation,3 099 $
31,1,Éducation physique,3 889 $
31,1,Administration,2 222 $
31,1,Beaux-arts,5 065 $
31,1,Cinéma et photographie,3 483 $
31,1,Musique,5 663 $
31,1,Lettres,2 137 $
31,1,Droit,2 735 $
31,1,Médecine,6 069 $
35,1,Sous-secteur disciplinaire,Premier cycle
35,1,Médecine dentaire,42 235 $
35,1,Médecine vétérinaire,48 808 $
35,1,Optométrie,30 777 $
35,1,"Paramédical sauf nursing et
pharmacie",13 422 $
35,1,Sciences infirmières,8 676 $
35,1,Pharmacie,8 676 $
35,1,Sciences pures sauf mathématiques,12 337 $
35,1,Mathématiques,8 676 $
35,1,"Architecture et design de
l’environnement",11 049 $
35,1,Génie,12 337 $
35,1,Informatique,8 676 $
35,1,"Agriculture, foresterie et géodésie",26 507 $
35,1,"Sciences humaines et sociales
sauf géographie",7 049 $
35,1,Géographie,12 337 $
35,1,Éducation,9 831 $
35,1,Éducation physique,12 337 $
35,1,Administration,7 049 $
35,1,Beaux-arts,16 067 $
35,1,Cinéma et photographie,11 049 $
35,1,Musique,17 964 $
35,1,Lettres,6 779 $
35,1,Droit,8 676 $
35,1,Médecine,19 252 $
