page,table_id,col_1,col_2
29,1,Article,Application
29,1,"Jacquemet,
Joule, Luchini
et Shogren
(2013)","Biais hypothétique
dans la révélation des
préférences pour un
bien non marchand
(don pour une
association).
Mécanisme de révéla-
tion : enchères au
second prix."
29,1,"Jacquemet,
James, Luchini
et Shogren
(2010)","Biais hypothétique
dans la révélation des
préférences pour un
bien non marchand
(don à l’association
WWF)
Mécanisme de révéla-
tion : référendum."
29,1,"Carlsson,
Kataria,
Krupnick,
Lampi,
Löfgren, Qin,
Sterner et
Chung (2013)","Biais hypothétique
dans la révélation des
préférences pour un
bien non marchand
(réduction des gaz effet
de serre).
Mécanisme de révéla-
tion : évaluation
contingente."
29,1,"Kataria et
Winter (2012)","Jeu de la confiance à
3 participants"
30,1,Article,Application
30,1,"Weaver et
Prelec (2012)","Reconnaissance de
mots existants ou
inventés."
30,1,"de Magistris et
Pascucci
(2012)","Biais hypothétique
dans la révélation des
préférences pour un
bien marchand (sushis
à base d’insecte).
Mécanisme de révéla-
tion : BDM."
30,1,"Jacquemet,
Luchini,
Shogren et
Zylberstein
(2013)",Jeu de coordination
30,1,"Macha,
Donfouet
et Mahieu
(2013)","Biais hypothétique
dans la révélation des
préférences pour un
bien non marchand
(participation à un fond
communautaire de
santé)."
30,1,"Stevens,
Tabatabaei et
Lass (2013)","Biais hypothétique
dans la révélation des
préférences pour un
bien non marchand (don
pour une association)."
30,1,"Dulleck,
Koessler &
Page (2014)","Jeu de contribution
volontaire à un bien
public"
30,1,"Jacquemet,
Luchini, Rosaz
et Shogren
(2014)",Jeu du mensonge
