page,table_id,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8
8,1,1 an avant la faillite,,,3 ans avant la faillite,,,,
8,1,Global,Faillites,Saines,Global,Faillites,Saines,Global,Faillites
8,1,Moyenne,Moyenne,Moyenne,Moyenne,Moyenne,Moyenne,Moyenne,Moyenne
8,1,"7,46
(11,46)","-2,44
(14,54)","7,76
(11,22)","7,6
(11,33)","2,1
(10,49)","7,8
(11,31)","7,72
(11,22)","0,54
(9,42)"
8,1,"20,52
(26,15)","-0,84
(26,75)","21,18
(25,86)","20,56
(25,97)","5,5
(23,11)","21,11
(25,9)","21,1
(25,83)","6,29
(14,14)"
8,1,"1,76
(1,89)","1,2
(0,94)","1,78
(1,91)","1,77
(1,9)","1,23
(0,5)","1,79
(1,93)","1,78
(1,91)","1,38
(0,77)"
8,1,"64,12
(22,59)","81,53
(16,69)","63,58
(22,54)","64,2
(22,62)","78,53
(15,29)","63,68
(22,67)","63,66
(22,54)","77,94
(17,25)"
8,1,"4,42
(0,57)","3,8
(0,52)","4,44
(0,56)","4,41
(0,6)","3,38
(0,59)","4,45
(0,57)","4,44
(0,56)","4,01
(0,47)"
8,1,"119,88
(111,07)","63,33
(64,49)","121,62
(111,74)","119,86
(110,89)","76,74
(96,72)","121,44
(111,07)","121,29
(111,56)","60,56
(31,63)"
9,1,1 an avant la faillite,,,,,,3 ans avant la faillite,,,,,,,,,,
9,1,EBIT_TA,Res_TA,Curr_R,Dettes_TA,LogTA,VA_Pers,EBIT_TA,Res_TA,Curr_R,Dettes_TA,LogTA,VA_Pers,EBIT_TA,Res_TA,Curr_R,Dettes_TA,LogTA
9,1,1,,,,,,1,,,,,,1,,,,
9,1,"0,37",1,,,,,"0,37",1,,,,,"0,36",1,,,
9,1,"0,14","0,41",1,,,,"0,14","0,41",1,,,,"0,14","0,41",1,,
9,1,"-0,18","-0,62","-0,55",1,,,"-0,18","-0,62","-0,55",1,,,"-0,17","-0,62","-0,55",1,
9,1,"-0,07","-0,05","0,03","-0,1",1,,"-0,07","-0,04","0,05","-0,1",1,,"-0,11","-0,08","0,03","-0,09",1
9,1,"0,25","0,07","0,05","-0,04","0,26",1,"-0,01","-0,01",0,0,"0,13",1,"0,25","0,06","0,05","-0,03","0,25"
10,1,"1 an avant
la faillite",,"3 ans avant
la faillite",,,,,
10,1,Bêta,"Écart
type",Bêta,"Écart
type",Bêta,,,
10,1,"-0,02*
-0,02***
-0,54*
-3,59***
-0,02***
13,47***","0,01
0,01
0,25
0,34
0,01
1,38","-0,04**
-0,01*
-0,44†
-5,96***
-0,01
21,30***","0,01
0,01
0,27
0,44
0,00
1,68","0,02
0,01
0,08
2,46***
0,02***
-7,24***",,,
10,1,"359,78***",,"605,19***",,,,,
10,1,3905,,3927,,,,,
10,1,"-335,29",,"-264,90",,,,,
11,1,"1 an avant
la faillite","3 ans avant
la faillite",,,,,,
11,1,41,56,,,,,,
11,1,1261,1254,,,,,,
11,1,"96,85 %","97,63 %",,,,,,
