page,table_id,col_1,col_2
7,1,,"49,8"
7,1,,
7,1,,
7,1,,"18,5"
7,1,,
7,1,,"31,7"
7,1,,
7,2,"50,9",
7,2,"18,5",
7,2,"30,6",
7,3,52,
7,3,"20,6",
7,3,"27,4",
7,4,,"33,3
1,6"
7,4,,
7,4,,"65,1"
7,4,,
7,4,,
7,4,,
7,5,"34
2",
7,5,64,
7,6,"34,1
2,1",
7,6,"63,8",
7,7,,"46,4"
7,7,,
7,7,,
7,7,,"9,4"
7,7,,"44,2"
7,7,,
7,8,"47,9",
7,8,"9,2",
7,8,"42,9",
7,9,48,
7,9,"11,1",
7,9,"40,9",
7,10,,"55,6"
7,10,,
7,10,,
7,10,,"27,2"
7,10,,
7,10,,"17,2"
7,11,"56,6",
7,11,"27,1",
7,11,"16,3",
7,12,"57,7",
7,12,"29,3",
7,12,13,
