page,table_id,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8
25,1,Utilités,"U
0","U
1","U
2",,,,
25,1,"Probabilité
de survie",100 %,50 %,10 %,"U
C","–
U
G","V
total","Choix
U
C"
25,1,A,"0,8","0,4","0,65","1,002","0,785","1,787",B
25,1,B,"0,8","0,45","0,6","1,018","0,765","1,783",
25,1,"Probabilité
de survie",,,20 %,,,,
25,1,A,,"0,4","0,65","0,504","0,520","1,024","B(U,
1
U)
2"
25,1,B,,"0,45","0,6","0,546","0,480","1,026",
25,1,"Probabilité
de survie",,50 %,,,,,
25,1,A,"0,8","0,504",,"1,002","0,460","1,462",B
25,1,B,"0,8","0,546",,"1,018","0,465","1,483",
27,1,"%
épargne
liquide","% actifs
liquides /
actifs
totaux","% ménages
recourant
au crédit
consommation
(cartes de crédit)",,,,,
27,1,40 %,39 %,51 %,,,,,
27,1,73 %,50 %,19 %,,,,,
27,1,42 %,8 %,70 %,,,,,
31,1,,,,,,,,
31,1,,,,,,,,
31,1,,,,,,,,
31,1,,,,,,,,
31,1,,,,,,,,
31,1,,,,,,,,
31,2,,,,,,,,
31,2,,,,,,,,
31,2,,,,,,,,
31,2,,,,,,,,
31,2,,,,,,,,
31,2,,,,,,,,
