page,table_id,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8
7,1,Moyenne,Médiane,Maximum,Minimum,Écart-type,CV (%),Jarque-Bera,Proba.
7,1,"2,4889","4,581","212,345","-203,539","57,139","2295,77","27,617","0,000"
7,1,"3,084","4,266","191,611","-314,033","50,689","1643,61","380,059","0,000"
7,1,"5,649","12,772","188,879","-347,086","69,922","1237,66","83,451","0,000"
7,1,"3,557","10,056","173,158","-394,499","69,918","1965,39","274,213","0,000"
7,1,"2,858","6,318","249,713","-337,772","77,146","2698,85","23,443","0,000"
7,1,"0,170","2,957","250,959","-203,317","67,057","39388,9","7,262","0,026"
7,1,"5,209","11,942","202,893","-379,661","62,593","1201,54","642,59","0,000"
7,1,"5,664","11,261","236,725","-217,837","67,888","1198,50","7,515","0,023"
7,1,"7,277","12,553","223,459","-462,554","63,105","867,144","1718,23","0,000"
7,1,"4,346","9,827","162,369","-461,134","57,591","1325,10","2489,69","0,000"
7,1,"4,802","8,247","205,623","-291,166","54,872","1139,60","159,656","0,000"
8,1,euqigleB,adanaC,ecnarF,engamellA,eilatI,nopaJ,saB-syaP,engapsE,essiuS,"-emuayoR
inU"
8,1,"1,000",,,,,,,,,
8,1,"0,511","1,000",,,,,,,,
8,1,"0,746","0,720","1,000",,,,,,,
8,1,"0,720","0,706","0,887","1,000",,,,,,
8,1,"0,598","0,548","0,750","0,735","1,000",,,,,
8,1,"0,234","0,385","0,395","0,341","0,233","1,000",,,,
8,1,"0,814","0,698","0,868","0,885","0,687","0,368","1,000",,,
8,1,"0,648","0,658","0,810","0,767","0,701","0,376","0,766","1,000",,
8,1,"0,786","0,662","0,799","0,802","0,651","0,343","0,886","0,748","1,000",
8,1,"0,718","0,641","0,810","0,760","0,632","0,351","0,814","0,716","0,803","1,000"
8,1,"0,607","0,759","0,605","0,725","0,545","0,380","0,723","0,653","0,731","0,749"
15,1,,,,,,,,
20,1,CLASSE 1,,CLASSE 2,,,,,
20,2,JP SW GE,,FR IT NL UK,,,,,
20,2,,,,,,,,
20,2,,,GP+,,,,,
20,2,DY- RF-,,,,,,,
20,3,JP SW GE,,,IT,,,,
20,3,,,,,,,,
20,3,,,,GP+,,,,
20,3,DY- RF-,,,,,,,
20,4,JP IT FR,,GE SW,,,,,
20,4,,,,,,,,
20,4,GP+ [RP+],,,,,,,
20,4,DY-,,GP- RF- [RP-],,,,,
