page,table_id,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8
13,1,,Population,,,,,,"% de variation
1996-2006"
13,1,,1981,1986,1991,1996,2001,2006,
13,1,"Recensement de la population
– Statistique Canada –",,,,,,,
13,1,"Population d’origine autochtone Canada
Québec",491 465,711 720,1 002 675,1 101 960,1 319 890,1 678 235,52 %
13,1,,52 395,80 945,137 615,142 385,159 905,264 195,86 %
13,1,"Population d’identité autochtone1 Canada
Québec",,,,779 790,952 895,1 146 025,47 %
13,1,,,,,69 360,77 105,104 975,51 %
13,1,"Population indienne in scrite Canada
Québec",320 140,263 245,385 805,488 040,558 175,623 780,28 %
13,1,,37 985,26 115,36 150,44 150,49 110,55 960,27 %
13,1,"Population appartenant à une Canada
bande indienne/Première nation Québec",,,,461 760,554 860,620 345,34 %
13,1,,,,,40 555,48 505,54 550,35 %
13,1,"Registre des Indiens
– Affaires indiennes et du Nord Canada –",,,,,,,
13,1,"Population indienne inscrite Canada
Québec",323 782,387 829,511 791,610 874,690 101,763 555,25 %
13,1,,32 510,38 962,50 728,58 640,64 404,69 749,19 %
14,1,462 325,,,,,,,
14,1,"25,7 %",,,,,,,
15,1,,,,,,,,
15,1,42 920,,,,,,,
15,1,"15,5 %",,,,,,,
15,2,51 255,,,,,,,
15,2,"18,5 %",,,,,,,
18,1,"18,4 %","21,9 %","59,7 %",,,,,
18,2,"26,3 %","20,5 %","53,2 %",,,,,
18,3,"43,1 %","12,2 %","44,7 %",,,,,
18,4,"48,1 %","11,3 %","40,6 %",,,,,
18,5,"52,4 %","9,9 %","37,7 %",,,,,
19,1,"48,1 %","11,3 %","40,6 %",,,,,
19,2,"3,5 % 22,0 %","74,5 %",,,,,,
19,3,"29,8 %","69,2 %",,,,,,
19,4,"62,7 %","36,8 %",,,,,,
19,5,"18,9 %","81,0 %",,,,,,
22,1,Année,Appellation,Français,Indien,Métis,Inuit,,
22,1,1871,Origine,"T : Français
M : N/D",T : Sauvage,"T : Métis
M : N/D","T : N/D
M : N/D",,
22,1,,,,M : N/D,,,,
22,1,1881,Origine,"T : Français
M : N/D",T : Sauvage,"T : Métis
M : N/D","T : N/D
M : N/D",,
22,1,,,,M : N/D,,,,
22,1,1891,N/D,N/D,N/D,N/D,N/D,,
22,1,1901,Origine raciale,"T : Français
M : Patrilinéaire","T : Sauvage
M : Couleur de la peau, incluant le nom
de la tribu","T : S/O
M : Complexe (Parents Indien et Blanc),
incluant le nom de la tribu et l’origine du
parent blanc","T : N/D
M : N/D",,
22,1,1911,Origine raciale,"T : Français
M : Patrilinéaire",T : Sauvage,"T : S/O
M : Matrilinéaire, incluant le nom de la
tribu","T : N/D
M : N/D",,
22,1,,,,"M : Matrilinéaire, incluant le nom de
la tribu",,,,
22,1,1921,Origine raciale,"T : Français
M : Patrilinéaire",T : Indien,"T : S/O
M : Matrilinéaire, incluant le nom de la
tribu",T : Esquimau,,
22,1,,,,"M : Matrilinéaire, incluant le nom de
la tribu",,M : Matrilinéaire,,
