page,table_id,col_1,col_2,col_3,col_4,col_5
24,1,,"Familles
biparentales",,"Familles
monoparentales",
24,1,,"à couple
marié","à couple en
union libre",Femmes,Hommes
24,1,Familles biparentales à couple marié,–,–,–,–
24,1,"Familles biparentales à couple en
union libre","0,34",–,–,–
24,1,Familles monoparentales (femmes),"0,28","0,32",–,–
24,1,Familles monoparentales (hommes),"0,31","0,27","0,26",–
24,2,Groupe d’exposition,Groupe exposé,,,
24,2,,"Familles
biparentales",,"Familles
monoparentales",
24,2,,"à couple
marié","à couple en
union libre",Femmes,Hommes
24,2,Familles biparentales à couple marié,"0,561","0,446","0,470","0,463"
24,2,"Familles biparentales à couple en
union libre","0,218","0,318","0,239","0,267"
24,2,Familles monoparentales (femmes),"0,179","0,187","0,241","0,208"
24,2,Familles monoparentales (hommes),"0,042","0,049","0,049","0,063"
24,2,Proportion dans la RMR,"0,509","0,249","0,195","0,046"
27,1,,Familles biparentales,,Familles monoparentales,,Total
27,1,,"à couple
mariéa","à couple en
union libre",Femmes,Hommesb,
27,1,"Revenu médian du
quartier ($)",57 977,58 139,48 741***,52 901***,55 982
27,1,"Âge moyen des parents
(années)","41,0","37,7***","39,0***","42,8***","39,9"
27,1,Groupe d’âge des enfants,,,,,
27,1,tous < 6 ans,"23,1","35,3***","17,3***","13,0***","24,5"
27,1,"Certains < 6 ans,
certains ≥ 6 ans","17,2","16,6*","10,4***","5,4","15,2"
27,1,tous ≥ 6 ans,"59,7","48,2***","72,3***","81,7***","60,3"
27,1,Présence de personnes apparentées,,,,,
27,1,au moins une,"6,2","4,0***","12,4***","12,3***","7,2"
27,1,Présence de personnes non apparentées,,,,,
27,1,au moins une,"0,7","0,7","6,2***","8,9***","2,2"
27,1,"Revenu familial
ajusté ($)",35 862,36 793***,20 504***,27 779***,32 727
27,1,Scolarité des parents,,,,,
27,1,Faible,"4,7","5,5***","18,2***","16,3***","4,9"
27,1,intermédiaire,"28,3","36,9***","41,9***","42,8***","31,1"
27,1,élevée,"67,1","57,6***","39,9***","40,9***","64,0"
27,1,Activité des parents sur le marché du travail,,,,,
27,1,Faible,"7,3","3,5***","23,6***","12,0***","6,1"
27,1,intermédiaire,"21,6","15,2***","13,8***","6,3***","19,5"
27,1,élevée,"71,1","81,2***","62,6***","81,7***","74,4"
27,1,Mode d’occupation du logement,,,,,
27,1,Propriétaire,"72,9","73,9*","36,0***","52,7***","65,0"
27,1,Mobilité résidentielle,,,,,
27,1,"même adresse depuis
5 ans","55,5","45,7***","43,1***","48,5***","50,3"
27,1,"ancienne (> 1 an et
< 5 ans)","33,7","40,5***","39,0***","35,9*","36,5"
27,1,récente (< 1 an),"10,8","13,8***","17,9***","15,6***","13,1"
28,1,Groupe ethnoculturel,,,,,
28,1,Francophones,"32,7","75,0***","53,3***","63,3***","48,7"
28,1,anglophones,"6,8","1,6***","5,6***","5,1***","5,2"
28,1,minorités visibles,"0,3","0,3","3,3***","2,4***","1,0"
28,1,immigrants anciens,"5,5","0,5***","5,0†","5,3","4,1"
28,1,immigrants récents,"8,9","0,6***","6,5***","3,8***","6,1"
28,1,autres,"45,8","22,0***","26,3***","20,2***","34,9"
28,1,"Proportion de
l’échantillon","50,9","24,9","19,5","4,6","100,0"
30,1,Variables [catégorie de référence],Modèle 1,Modèle 2,Modèle 3,
30,1,Type de famille [Biparentales à couple marié],,,,
30,1,Biparentales à couple en union libre,"0,024*","-0,022***","-0,033***",
30,1,monoparentales (femme),"-0,160***","0,001","-0,021**",
30,1,monoparentales (homme),"-0,078***","-0,003","-0,023**",
30,1,Âge moyen des parents,,"-0,002***","-0,002***",
30,1,Groupe d’âge des enfants [Tous ≥ 6 ans],,,,
30,1,tous < 6 ans,,"-0,040***","-0,038***",
30,1,"Certains < 6 ans, certains ≥ 6 ans",,"-0,007","-0,006",
30,1,Présence de pers. apparentées [Non],,"-0,019***","-0,018**",
30,1,Présence de pers. non apparentées [Non],,"-0,002","-0,005",
30,1,Scolarité des parents [Élevée],,,,
30,1,Faible,,"-0,061***","-0,069***",
30,1,intermédiaire,,"-0,020***","-0,024***",
30,1,Activité des parents sur le marché du travail [Élevée],,,,
30,1,Faible,,"-0,011","-0,011",
30,1,intermédiaire,,"0,016**","0,013**",
30,1,Revenu familial ajusté (ln),,"0,122***","0,090***",
30,1,Revenu familial ajusté (ln) au carré,,"0,026***","0,030***",
30,1,Mode d’occupation du logement [Propriété],,,,
30,1,Location,,"-0,307***","-0,305***",
30,1,Mobilité [Même adresse (mobilité > 5 ans)],,,,
