page,table_id,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8
14,1,,,,,,,,
14,1,,,,,,,8,
14,1,,,,5,,,,
14,1,14,,,14,,,14,
14,1,,,,,,,9,
14,1,6,,,7,,,,
14,1,4,,,4,,,9,
14,1,,,,,,,,
14,1,,,,,,,,
14,1,73,,,70,,,60,
14,1,,,,,,,,
14,1,,,,,,,,
14,1,,,,,,,,
17,1,Types de famille,"Groupe 1
Répondant vit
avec l’enfant, parle
de l’autre parent
Définition :
résidentielle",,"Groupe 2
Répondant vit
à temps partiel
avec l’enfant",,"Groupe 3
Répondant ne vit
pas avec l’enfant,
parle de son propre
comportement
Définition : réseau
extra-résidentiel",,
17,1,,"Moins de
10 km","50 km et
plus","Moins de
10 km","50 km et
plus","Moins de
10 km","50 km et
plus",
17,1,"Ensemble des pères
répondants
– Mono-père
– Recomposée-belle-mère","44
45
40*","30
27
43*","56
62
43","17
15
20","38
43
28","45
38
56",
17,1,"Ensemble des mères
répondantes
– Mono-mère
– Recomposée-beau-père","41
44
32","35
32
43","59
66
33*","15
12
24*","36
33*
40*","47
56*
35*",
17,1,Total,41,34,57,16,38,45,
19,1,"Types de famille
Répondant","Groupe 1
Répondant vit
avec l’enfant, parle
de l’autre parent
Définition :
résidentielle",,"Groupe 2
Répondant vit
à temps partiel
avec l’enfant",,"Groupe 3
Répondant ne vit
pas avec l’enfant,
parle de son propre
comportement
Définition : réseau
extra-résidentiel",,
19,1,,"Aucun
contact","1
fois/mois
à moins
de la
moitié du
temps","Aucun
contact","1
fois/mois
à moins
de la
moitié du
temps","Aucun
contact","1
fois/mois
à moins
de la
moitié du
temps",
19,1,"Ensemble des pères
répondants
– Monoparentale-père
– Recomposée-belle-mère","11
8
19*","60
60
62*","0
0
0","8
10
6","19
15
25","60
62
58",
19,1,"Ensemble des mères
répondantes
– Monoparentale-mère
– Recomposée-beau-père","28
27
29","46
47
43","0
0
0","39
40
38","21
27
13","39
39
40*",
19,1,Total,26,48,0,20,19,56,
