page,table_id,col_1,col_2,col_3,col_4,col_5
11,1,,Conjointe,,Conjoint,
11,1,,"Temps
à risque",Proportion,"Temps
à risque",Proportion
11,1,"MARCHÉ DU TRAVAIL
Statut de l’emploi [M]",,,,
11,1,Temporaire,468 393,",13",373 918,",10"
11,1,Permanent,3 105 734,",87",3 200 209,",90"
11,1,Secteur d’emploi [M],,,,
11,1,Privé,2 576 946,",72",2 709 290,",76"
11,1,Public,997 181,",28",864 837,",24"
11,1,Couverture syndicale [M],,,,
11,1,Non,2 404 123,",67",2 343 371,",66"
11,1,Oui,1 170 004,",33",1 230 756,",34"
11,1,Régime de travail [M],,,,
11,1,Temps partiel,710 516,",20",246 558,",07"
11,1,Temps plein,2 863 611,",80",3 327 569,",93"
11,1,Régime de retraite offert par l’employeur [M],,,,
11,1,Non,1 624 595,",45",1 448 033,",41"
11,1,Oui,1 949 533,",55",2 126 095,",59"
11,1,Revenu après impôt ($) [M],,,,
11,1,De 0 à moins de 10 000,236 844,",07",85 425,",02"
11,1,De 10 000 à moins de 25 000,1 359 000,",38",821 079,",23"
11,1,De 25 000 à moins de 40 000,1 364 805,",38",1 398 217,",39"
11,1,De 40 000 à moins de 55 000,455 661,",13",819 126,",23"
11,1,55 000 ou plus,157 817,",04",450 279,",13"
12,1,,Conjointe,,Conjoint,
12,1,,"Temps
à risque",Proportion,"Temps
à risque",Proportion
12,1,Taux de chômage [M],,,,
12,1,De 0 % à moins de 5 %,685 428,",19",900 455,",25"
12,1,"De 5 % à moins de 7,5 %",1 919 035,",54",1 327 761,",37"
12,1,"De 7,5 % à moins de 10 %",453 926,",13",910 507,",25"
12,1,10 % et plus,515 738,",14",435 403,",12"
12,1,"ACTION PUBLIQUE
Avoir droit au congé de maternité [M]",,,,
12,1,Non,199 387,",06",,
12,1,Oui,3 374 740,",94",,
12,1,Avoir droit aux prestations de maternité [M],,,,
12,1,Non,256 554,",07",,
12,1,Oui,3 317 573,",93",,
