page,table_id,col_1,col_2,col_3
9,1,Type de projet pédagogique,Statut de l’école,
9,1,,École publique,École privée
9,1,ordinaire,enseignement public ordinaire,enseignement privé ordinaire
9,1,enrichi,programmes enrichis du public,programmes enrichis du privé
9,1,programme d’éducation internationale,éducation internationale du public,éducation internationale du privé
10,1,Programme,Concentration ou enrichissement,"École aux fins d’un projet
pédagogique particulier"
10,1,"Dérogation au régime
pédagogique
oui. programmes de cinq unités ou
plus dérogeant à la liste des matières
prévues par le régime pédagogique
et parfois à d’autres dispositions du
régime pédagogique.","Dérogation au régime
pédagogique
non. programmes d’études locaux
de quatre unités ou moins.","Dérogation au régime
pédagogique
variable."
10,1,"Autorisation requise
le ministère","Autorisation requise
la commission scolaire pour une
école publique
l’école elle- même si elle est privée.","Autorisation requise
le ministère"
10,1,"élèves visés
certains élèves","élèves visés
certains élèves","élèves visés
tous les élèves de l’école."
10,1,"Exemples
– sports- études reconnus par
le ministère
– a rts- études reconnus par
le ministère
– programmes d’enrichissement
(science, etc.)
– programme d’éducation
internationale","Exemples
– sports
– arts
– langues
– science","Exemples
– écoles alternatives
– écoles avec un curriculum
particulier (ex. programme
d’éducation internationale,
sports- études)
– écoles de rattrapage scolaire
– écoles réservées aux garçons ou
aux filles"
12,1,,,,,,,,,,,,
12,1,,,,,,,,,,,,
12,1,,,,,,,"76,9",,,,,
12,1,"68,2",,,,,,,,,,,
12,1,,,,,,,,,,,,
12,1,,,,,,,,,,,,
12,1,,,,,,,,,,,,
12,1,,,,,,,,,,,,
12,1,"37,3",,,,,,,,,,,
12,1,,,,,,,,,,,,
12,1,,,,,,,,,,,,
12,1,,,,,,,,,,,,
12,1,,,,,,,,,,,,
12,1,,,,,,,,,,,,
19,1,Variables,Effectifs,Proportion
19,1,"Avoir accédé au postsecondaire
Filière la plus fréquentée
enseignement public ordinaire
programmes enrichis du public
éducation internationale du public
enseignement privé ordinaire
programmes enrichis du privé
éducation internationale du privé","11 407
15 231
1 980
1 088
3 707
286
139","50,9
67,9
8,8
4,9
16,5
1,3
0,6"
19,1,,Effectifs,Bornes
19,1,"Capital scolaire
Quintile le plus bas
deuxième quintile
troisième quintile
Quatrième quintile
Quintile le plus élevé","4 503
4 517
4 500
4 430
4 476","[00,00 ; 40,59]
[40,60 ; 47,98]
[47,99 ; 52,03]
[52,03 ; 58,70]
[59,02 ; 100,0]"
19,1,"Capital économique
Quintile le plus bas
deuxième quintile
troisième quintile
Quatrième quintile
Quintile le plus élevé","4 502
4 480
4 584
4 406
4 454","[00,00 ; 10,19]
[10,20 ; 13,75]
[13,76 ; 18,56]
[18,57 ; 24,34]
[24,42 ; 68,84]"
19,1,,Effectifs,Proportion
19,1,"Sexe
homme
Femme","11 410
11 016","50,9
49,1"
19,1,"Lieu de naissance
né au Québec
né ailleurs au canada
né à l’étranger","20 504
677
1 245","91,4
3,0
5,6"
19,1,"Langue maternelle
Français
anglais
autre","18 469
1 963
1 994","82,4
8,8
8,9"
19,1,"Langue d’enseignement
Français
anglais","19 954
2 472","89,0
11,0"
19,1,"Difficulté ou handicap
Retard scolaire
Effectif total","2 530
3 357
22 426","11,3
15,0"
