page,table_id,col_1,col_2,col_3
12,1,Variables,N,%
12,1,Sexe du CM,,
12,1,masculin,238 596,"85,8"
12,1,féminin,39 545,"14,2"
12,1,,,
12,2,Variables,N,%
12,2,Classe d’âge du CM,,
12,2,moins de 30 ans,59 856,"21,6"
12,2,30 à 44 ans,128 500,"46,3"
12,2,45 ans et plus,89 084,"32,1"
12,3,Type d’habitat,,
12,3,immeuble/villa,34 931,"12,8"
12,3,"maison
individuelle",184 567,"67,8"
12,3,"Bâtiment
à plusieurs
logements",51 276,"18,8"
12,3,autres,1381,"0,5"
12,3,Statut d’occupation du logement,,
12,3,propriétaire,154 270,"57,1"
12,3,Locataire,81 726,"30,2"
12,3,hébergé/autres,34 229,"12,7"
12,3,Moyen de cuisson,,
12,3,électricité/gaz,71 565,"26,0"
12,3,"pétrole/charbon/
bois amélioré",57 820,"21,0"
12,3,Bois simple/autres,145 654,"53,0"
12,3,Source d’eau,,
12,3,eau courante,114 409,"41,5"
12,3,Borne/pompe,157 868,"57,3"
12,3,puits/autres,3194,"1,2"
12,4,Nature des murs,,
12,4,dur,142 710,"51,8"
12,4,semi- dur,67 030,"24,3"
12,4,Banco/autres,65 873,"23,9"
12,4,Source d’énergie,,
12,4,sonabel/groupe,134 847,"49,1"
12,4,Lampe/autres,139 537,"50,9"
12,4,Gestion des ordures,,
12,4,ramassage privé,120 860,"43,9"
12,4,Tas d’immondices,71 615,"26,1"
12,4,fossé/autres,82 680,"30,0"
12,4,Gestion des eaux usées,,
12,4,cour,48 828,"18,2"
12,4,rue,170 294,"63,1"
12,4,puits,50 558,"18,7"
12,4,,,
12,4,,,
12,4,,,
12,4,,,
12,4,,,
12,4,,,
12,5,Poste de radio,,
12,5,0,42 133,"15,2"
12,5,1,193 939,"70,1"
12,5,2 ou plus,40 736,"14,7"
12,5,Téléphone fixe,,
12,5,0,244 067,"88,2"
12,5,1+,32 532,"11,8"
12,6,Téléphone mobile,,
12,6,0,105 719,"38,2"
12,6,1,100 990,"36,5"
12,6,2 ou plus,69 945,"25,3"
12,6,Téléviseur,,
12,6,0,133 305,"48,2"
12,6,1+,143 497,"51,8"
13,1,Variables,N,%
13,1,Bicyclette,,
13,1,0,78 777,"28,5"
13,1,1,114 726,"41,4"
13,1,2+,83 175,"30,1"
13,1,Réfrigérateur,,
13,1,0,227 063,"81,7"
13,1,1+,50 794,"18,3"
13,2,Variables,N,%
13,2,Mobylette,,
13,2,0,112 107,"40,5"
13,2,1,115 350,"41,7"
13,2,2+,49 189,"17,8"
13,2,,,
13,2,,,
13,2,,,
13,3,Niveau de scolarité du CM,,
13,3,aucun,121 801,"43,8"
13,3,primaire,52 248,"18,8"
13,3,collège,44 907,"16,1"
13,3,Lycée ou plus,59 185,"21,3"
13,3,Statut d’activité du CM,,
13,3,en emploi,213 667,"76,9"
13,3,retraité,11 791,"4,2"
13,3,inactif,52 407,"18,9"
13,4,État matrimonial du CM,,
13,4,célibataire,52 290,"19,1"
13,4,"union monogame
ou uL",180 233,"65,6"
13,4,union polygame,20 061,"7,3"
13,4,"Veuf/veuve ou
divorcé(e)",21 825,"8,0"
13,4,,,
13,4,,,
16,1,État matrimonial,"Femmes chefs de ménage
(%)","Nombre
pour 100 chefs de ménage"
16,1,célibataire,"21,7",16
16,1,mariée (union monogame,"26,0",06
16,1,mariée (union polygam)e,"5,0",10
16,1,union libre,"1,6",05
16,1,divorcée/séparée,"5,9",58
16,1,Veuve,"39,8",86
16,1,Total,"100,0",14
18,1,"Propriétaire
Bois/autres
Jamais scolarisé
Lampes Polygame
Banco/autres
/autres PhoneMob0
Tas d’immondices Veuf
TV0 Borne/pompe CMF",">=45 ans
Velo>=2 PhoneFix>=1
Auto>=1
Monogame
Retraité Moto>=2 Immeuble
Frigo>=1
/divorcé PhoneMob>=2
Occupé",
18,1,"Moto0 Velo1 Pri
Maison individuelle
Frigo0 Inactif
Auto0
PhoneFix0 < 30 ans
Célibataire","maire TV>=1
30-44 CMH Lycée+ Eau courante
M Co o ll t è o g 1 e Ramassage Pub D li u c r Réseau
PhoneMob1 électrique
Electricité/Gaz /Groupe
Velo0
Location",
20,1,,,"Sous- groupes
des femmes",,"Sous- groupes
des hommes",,
20,1,,,"Groupe
Gf1","Groupe
Gf2","Groupe
Gh1","Groupe
Gh2","Groupe
Gh3"
20,1,Effectif,na,20 457,18 158,83 694,83 730,67 796
20,1,,%,"53,0","47,0","35,6","35,6","28,8"
20,1,Âge,"moins de
30 ans","0,0","38,8","0,0","0,6","76,3"
20,1,,30 à 44 ans,"27,3","52,4","100,0","14,3","23,7"
20,1,,45 ans et plus,"72,7","8,8","0,0","85,1","0,0"
20,1,"Niveau de
scolarité",aucun,"82,7","14,1","38,8","55,8","30,5"
20,1,,primaire,"7,8","24,8","20,5","16,5","21,4"
20,1,,collège,"4,8","28,2","18,0","11,4","20,3"
20,1,,Lycée ou plus,"4,7","32,9","22,7","16,3","27,8"
20,1,"Statut
d’activité",en emploi,"41,1","60,4",100,"67,1","76,8"
20,1,,retraité(e),"3,3","0,0","0,0","13,1","0,0"
20,1,,inactif,"55,6","39,6","0,0","19,8","23,2"
20,1,"État
matrimonial",célibataire,"1,3","44,7","0,0","2,3","61,8"
20,1,,"union mono-
game ou uL","18,7","37,7",100,"71,2","38,2"
20,1,,"union
polygame","7,7","2,0","0,0","21,6","0,0"
20,1,,"Veuf/veuve ou
divorcé(e)","72,3","15,6","0,0","4,9","0,0"
22,1,"Catégories de ménage
Niveau de vie
Moyen
Gh3","Gf2
Gh1",
22,1,"Bas
Gf1",Gh2 Élevé,
23,1,"Gf1
Bas","Catégories de ménage
Niveau de vie
Élevé Gf2",
23,1,HCM,Moyen,
