page,table_id,col_1,col_2,col_3,col_4,col_5
9,1,Groupe de générations/Département,Anciennes,Moyennes,Récentes,Ensemble
9,1,Guadeloupe,568,1315,547,2430
9,1,Martinique,654,1286,595,2535
9,1,La réunion,382,1264,995,2641
9,1,Ensemble,1604,3865,2137,7606
12,1,,Guadeloupe,Martinique,La Réunion,Ensemble
12,1,créole seul,"34,2","23,5","79,0","54,0"
12,1,Français seul,"14,6","18,3","1,2","9,1"
12,1,Autres langues seules,"0,2",0,"0,04","0,1"
12,1,créole — Français,"47,7","57,2","17,6","35,0"
12,1,créole — Autres langues,"2,2","0,1","1,1","1,1"
12,1,Français — Autres langues,"0,1","0,3","0,2","0,2"
12,1,créole — Français — Autres langues,"2,2","0,1","0,1","1,0"
12,1,ne sait pas,"0,1","0,1","0,1","0,1"
12,1,Ensemble,100,100,100,100
14,1,,Guadeloupe,Martinique,La Réunion,Ensemble
14,1,créole seul,"9,3","4,8","51,2","29,2"
14,1,Français seul,"43,3","46,4","14,0","29,6"
14,1,Autres langues seules,"0,02","0,05","0,02","0,03"
14,1,créole — Français,"46,6","48,1","34,3","40,8"
14,1,créole — Autres langues,0,0,"0,7","0,3"
14,1,Français — Autres langues,"0,3","0,3","0,2","0,2"
14,1,ne sait pas,"0,4","0,4","0,3","0,3"
14,1,Ensemble,100,100,100,100
16,1,,Bagage linguistique transmis,,,,,,,,
16,1,,Guadeloupe,,,Martinique,,,La Réunion,,
16,1,Groupe de générations,Ca,Fb,FCc,C,F,FC,C,F,FC
16,1,Bagage initial : Créole,,,,,,,,,
16,1,Anciennes,"33,4","22,1","44,6","26,5","21,6","51,9","81,3","4,6","14,1"
16,1,Moyennes,"15,1","32,0","52,9","8,7","40,6","50,7","60,7","9,3","30,0"
16,1,Récentes,0,"49,4","50,6","12,3","43,6","44,1","49,0","10,0","41,0"
16,1,Bagage initial : Français,,,,,,,,,
16,1,Anciennes,"2,7","64,1","33,2",0,"70,1","29,9",0,"86,3","13,7"
16,1,Moyennes,"0,7","53,2","46,2",0,"64,9","35,1",0,"74,6","25,4"
16,1,Récentes,"0,4","69,3","30,3",0,"70,9","29,1",0,"67,7","32,3"
16,1,Bagage initial : Français — Créole,,,,,,,,,
16,1,Anciennes,"8,5","51,7","39,8","4,6","39,8","55,6","22,4","52,8","24,8"
16,1,Moyennes,"5,1","44,6","50,3","1,0","45,2","53,8","21,4","31,9","46,8"
16,1,Récentes,"0,8","52,8","46,4","0,4","52,2","47,4","15,0","29,5","55,5"
