page,table_id,col_1,col_2,col_3,col_4,col_5
24,1,"Résumé
statistique","Canton
Montpezat-
sous- Bauzon
(0712)","Canton
La Rochette
(7322)","Canton
Montmélian
(7318)","EPCI La CC
Marche Avenir
(242313609)"
24,1,Population en 2009,1 844,7 900,14 952,1 680
24,1,"Densité de population
(nombre d’habitants
au km²) en 2009","9,3","75,1","145,5","17,6"
24,1,Superficie (km²),"198,9","105,2","102,8","95,2"
24,1,"Variation de la population :
taux annuel moyen entre
1999 et 2009 (%)","0,4","1,9","1,4","-0,1"
24,1,"dont variation due
au solde naturel","-0,9","0,2","0,6","-1,1"
24,1,"dont variation due au
solde apparent des
entrées sorties","1,3","1,7","0,9","1,0"
24,1,"Nombre de ménages
en 2009",852,3 221,5 869,794
24,1,"Naissances domiciliées
en 2011",19,90,183,12
24,1,Décès domiciliés en 2011,28,66,101,3
