page,table_id,col_1,col_2,col_3
12,1,Caractéristiques de l’échantillon,,Proportion anglicisée
12,1,Origine ethnoculturelle de la mère,,
12,1,Mère née au Canada,"38,8 %","56,5 %"
12,1,Mère immigrante,"61,2 %","27,3 %"
12,1,Francotropea,"74,1 %","13,7 %"
12,1,Ayant immigré avant 1977a,"10,2 %","64,1 %"
12,1,Arrivée au Canada avant 15 ansa,"17,3 %","45,4 %"
12,1,Niveau d’éducation de la mère,,
12,1,Sans diplôme d’études secondaires,"9,5 %","21,4 %"
12,1,Diplôme d’études secondaires,"31,5 %","38,8 %"
12,1,Postsecondaire sans diplôme universitaire,"27,5 %","43,1 %"
12,1,Diplôme universitaire non technique ou scientifique,"19,5 %","43,8 %"
12,1,Diplôme universitaire technique ou scientifique,"12,0 %","33,1 %"
12,1,Niveau de compétence du père,,
12,1,Ne travaille pas,"7,4 %","25,1 %"
12,1,Cadre supérieur ou intermédiaire,"3,0 %","51,2 %"
12,1,Professionnel,"20,4 %","40,8 %"
12,1,Personnel spécialisé ou technique,"28,0 %","39,1 %"
12,1,Personnel de bureau,"23,5 %","36,4 %"
12,1,Personnel de soutien,"17,7 %","41,9 %"
12,1,Endogamie et exogamie,,
12,1,Endogamie,"54,3 %","37,0 %"
12,1,Exogamie allophone-francophone,"26,2 %","12,0 %"
12,1,Exogamie allophone-anglophone,"10,7 %","94,6 %"
12,1,Exogamie allophones,"8,8 %","59,8 %"
12,1,Région de résidence,,
12,1,Île de Montréal,"57,7 %","46,0 %"
12,1,Couronne de Montréal,"29,7 %","35,3 %"
12,1,Reste du Québec,"12,6 %","13,0 %"
12,1,Échantillon (N),68 390,
15,1,"ecnaifnoc
ed
ellavretnI","erueirépus
enroB",")adanaC
ua
eén
: .féR(
erèm
al
ed
ellerutluconhte
enigirO","28,0","70,0","75,8","74,1","43,0","30,0","18,271","07,0",")seriadnoces
seduté’d
emôlpid
snas
: .féR(
erèm
al
ed
noitacudÉ","92,2","57,2","49,2","85,2"
15,1,,"erueiréfni
enroB",,"84,0","40,0","33,2","64,0","60,0","20,0","64,2","05,0",,"14,1","86,1","37,1","24,1"
15,1,"telpmoc
elèdoM",,,"*36,0","*50,0","*74,4","38,0","*41,0","*30,0","*26,02","*95,0",,"*8,1","*51,2","*52,2","*29,1"
15,1,"sturb
steffE",,,"79,0","*21,0","*96,8","05,1","*03,0","*70,0","*44,64","*82,1",,"*23,2","*87,2","*68,2","*28,1"
15,1,,,,"sna
51
tnava
te
7791
tnava
évirra
,eportocnarF","sna
51
tnava
te
7791
siuped
évirra
,eportocnarF","sna
51
tnava
te
7791
tnava
évirra
,eportocnarf-noN","sna
51
tnava
te
7791
siuped
évirra
,eportocnarf-noN","sulp
uo
sna
51
à
te
7791
tnava
évirra
,eportocnarF","sulp
uo
sna
51
à
te
7791
siuped
évirra
,eportocnarF","sulp
uo
sna
51
à
te
7791
tnava
évirra
,eportocnarf-noN","sulp
uo
sna
51
à
te
7791
siuped
évirra
,eportocnarf-noN",,"seriadnoces
seduté’d
emôlpiD","eriatisrevinu
emôlpid
snas
eriadnocestsoP","euqifitneics
uo
euqinhcet
non
eriatisrevinu
emôlpiD","euqifitneics
uo
euqinhcet
eriatisrevinu
emôlpiD"
16,1,"ecnaifnoc
ed
ellavretnI","erueirépus
enroB",")sap
elliavart
en
: .féR(
erèp
ud
ecnetépmoc
ed
uaeviN","78,5","58,2","91,2","51,2","33,2",")enohpolla
emagodne
elpuoc
: .féR(
eimagoxE","80,0","62,71","31,2",")laértnoM
ed
RMR
snas
cebéuQ
: .féR(
ecnedisér
ed
ueiL","50,7","22,4",–,–,–
16,1,,"erueiréfni
enroB",,"64,2","26,1","92,1","72,1","53,1",,"50,0","30,9","04,1",,"92,4","35,2",–,–,–
16,1,"telpmoc
elèdoM",,,"*8,3","*51,2","*86,1","*56,1","*77,1",,"*70,0","*84,21","*37,1",,"*5,5","*72,3","591
31","844,543
42-","3664,0"
16,1,"sturb
steffE",,,"*31,3","*50,2","*29,1","*17,1","*51,2",,"*32,0","*29,92","*45,2",,"*27,5","*66,3",–,–,–
16,1,,,,"eriaidémretni
uo
rueirépus
erdaC",lennoisseforP,"euqinhcet
uo
ésilaicéps
lennosreP","uaerub
ed
lennosreP","neituos
ed
lennosreP",,"enohpocnarf
—
enohpolla
eimagoxE","enohpolgna
—
enohpolla
eimagoxE","senohpolla
eimagoxE",,"laértnoM
ed
elÎ",")elî’l
sniom
RMR(
laértnoM
ed
ennoruoC","snoitavresbo’d
erbmoN","ecnalbmesiarv
ed
mumixam-oduesp
ud
goL",2R-oduesP
