page,table_id,col_1,col_2,col_3,col_4,col_5
7,1,"Caractéristiques
socio-économiques",1990-1994,,1995-1999,
7,1,,ISFL,Écarts,ISFL,Écarts
7,1,Milieu de résidence,,,,
7,1,Abidjan,"5,2",R,"4,7",R
7,1,Autres villes,"6,4","−1,2","6,0","−1,3"
7,1,Milieu rural,"6,9","−1,7","6,9","−2,2"
7,1,Scolarisation,,,,
7,1,Au moins 7 ans,"4,8",R,"3,7",R
7,1,Au plus 6 ans,"6,3","−1,5","5,7","−2,0"
7,1,Non scolarisée,"6,7","−1,9","6,7","−3,0"
7,1,Activité économique,,,,
7,1,Moderne,"6,1",R,"5,5",R
7,1,Chômeuse,"6,2","−0,1","6,0","−0,5"
7,1,Agricole,"7,1","−1,0","7,1","−1,6"
7,1,Religion,,,,
7,1,Chrétienne,"6,0",R,"5,4",R
7,1,Musulmane,"6,4","−0,4","6,7","−1,3"
7,1,Traditionnelle,"7,1","−1,1","7,1","−1,7"
7,1,Ethnie,,,,
7,1,Krou,–,–,"5,3",R
7,1,Akan,–,–,"5,8","−0,5"
7,1,Mandé du nord,–,–,"7,0","−1,7"
7,1,Mandé du sud,–,–,"6,6","−1,3"
7,1,Voltaïque,–,–,"6,8","−1,5"
7,1,Autres,–,–,"6,7","−1,4"
8,1,"reimerp
egairam
ua )siom(
neyom
egÂ","II
SDE","ecnedisér
ed
ueiL","9,81","3,81","7,71",noitasiralocS,"6,71","2,81","0,02","euqimonocé
étivitcA","3,81","3,81","6,71",noigileR,"6,81","3,71","1,81",einhtE,"0,91","7,81","8,71","1,81","3,71","7,81"
8,1,,"I
SDE",,"7,81","7,71","3,71",,"4,71","7,71","7,91",,"7,71","0,81","2,71",,"2,81","3,71","4,71",,–,–,–,–,–,–
8,1,"erèimerp
étinretam
al )siom(
à
neyom
egÂ","II
SDE",,"6,81","4,81","3,81",,"9,71","7,81","4,91",,"3,81","5,81","4,81",,"6,81","3,81","1,81",,"0,81","8,71","3,81","3,81","9,71","7,81"
8,1,,"I
SDE",,"5,81","3,81","0,81",,"4,71","3,81","9,81",,"2,81","2,81","1,81",,"5,81","0,81","0,81",,–,–,–,–,–,–
8,1,"enredom
)%(
énnod
ed
noitasilitU noitpecartnoc
tnemom
nu
al à","II
SDE",,"2,64","2,73","7,81",,"7,21","8,54","4,47",,"8,93","5,53","2,31",,"5,34","1,61","9,02",,"6,34","1,74","0,51","3,82","9,51","6,61"
8,1,,"I
SDE",,"0,04","9,62","5,11",,"3,8","9,53","9,66",,"7,82","7,52","4,7",,"3,23","1,21","3,31",,–,–,–,–,–,–
8,1,"neyom
stnafne’d
sériséd
erbmoN","II
SDE",,"7,4","2,5","3,6",,"3,6","4,5","0,4",,"4,5","9,4","6,6",,"2,5","2,6","4,6",,"2,5","8,5","6,6","6,5","3,6","9,5"
8,1,,"I
SDE",,"9,4","4,5","5,6",,"4,6","3,5","4,4",,"5,5","4,5","8,6",,"4,5","1,6","6,6",,–,–,–,–,–,–
8,1,")siom(
enaidém étidnocéfni’d
mutrap-tsop
eéruD","II
SDE",,"9,7","3,01","0,21",,"8,11","7,6","9,9",,"8,9","1,01","2,21",,"7,9","1,21","6,21",,–,–,–,–,–,–
8,1,,"I
SDE",,"1,8","1,21","6,21",,"8,21","5,11","1,9",,"7,9","3,01","9,21",,"8,11","2,21","9,21",,–,–,–,–,–,–
8,1,"-oicos
seuqimonocé
selbairaV",,,najdibA,"selliv
sertuA",laruR,,"eésiralocs
noN","sna
6
sulp
uA","sna
7
sniom
uA",,enredoM,esuemôhC,elocirgA,,enneitérhC,enamlusuM,ellennoitidarT,,nakA,uorK,"dron
ud
édnaM","dus
ud
édnaM",euqïatloV,sertuA
14,1,"3
elèdoM","soitar
sddO",,"8,1 3,1",noitasiralocS,"6,1 3,1","euqimonocé
étivitcA","0,1 3,1",noigileR,"1,1 5,1",einhtE,"4,1 6,1 2,1 9,1 0,1"
14,1,,liueS,,"***
*",,** –,,– **,,– **,,* ** – ** –
14,1,,β,,"65,0 72,0 8,37",,"44,0 72,0 1,47",,"40,0− 92,0 0,47",,"51,0 83,0 2,47",,"63,0 74,0 81,0 36,0 20,0- 5,37"
14,1,"2
elèdoM","soitar
sddO",,"7,1 3,1",,"5,1 3,1",,"0,1 3,1",,"1,1 4,1",,"4,1 6,1 2,1 9,1 0,1"
14,1,,liueS,,"***
*",,** –,,– **,,– **,,* ** – ** –
14,1,,β,,"45,0 82,0 1,47",,"93,0 42,0 9,37",,"40,0− 72,0 6,37",,"31,0 73,0 6,37",,"63,0 64,0 81,0 36,0 00,0- 5,37"
14,1,"1
elèdoM","soitar
sddO",,"0,2 4,1",,"3,2 5,1",,"0,1 7,1",,"4,1 8,1",,"6,1 0,2 5,1 1,2 0,1"
14,1,,liueS,,*** **,,*** **,,– ***,,** ***,,** *** ** *** –
14,1,,β,,"87,0 53,0 6,17",,"18,0 34,0 3,17",,"40,0− 55,0 2,27",,"63,0 16,0 6,27",,"84,0 96,0 83,0 57,0 30,0 6,37"
14,1,,,sfitceffE,043 5221 892,,361 4221 674,,637 842 978,,436 764 267,,781 994 382 622 062 804 3681
14,1,,,"ecnedisér
ed
ueiL",")%(
elatot
larur selliv noitubirtnoC
)najdibA(
ueiliM sertuA",,")%(
elatot
)sna
eésiralocs
7 sna noitubirtnoC
sniom 6
sulp
uA( noN uA",,")%(
elatot
noitubirtnoC
)enredoM( esuemôhC
elocirgA",,")%(
elatot
ellennoitidarT
)enneitérhC( enamlusuM noitubirtnoC",,")%(
elatot
dron
dus
noitubirtnoC
euqïatloV ud ud elbmesnE
)uorK( sertuA édnaM édnaM
nakA"
20,1,"Variables introduites dès le départ dans le modèle de
régression logistique",Femmes,,,
20,1,,Coefficient β,Signification,,
20,1,Réside en milieu urbain,"0,3",–,,
20,1,Religion chrétienne,"0,4",–,,
20,1,Scolarisée,"0,2",–,,
20,1,Activité moderne,"1,0",***,,
20,1,Informée,"0,5",*,,
20,1,Désire au plus 3 enfants,"0,4",–,,
20,1,Partenaire approuve la planification familiale,"1,1",***,,
20,1,Le couple discute de la planification familiale,"−0,2",–,,
20,1,Approuve personnellement la planification familiale,"1,9",**,,
20,1,Variables retenues,,,,
20,1,Activité moderne,"1,1",***,,
20,1,Informé,"0,6",*,,
20,1,Partenaire approuve la planification familiale,"1,1",***,,
20,1,Approuve personnellement la planification familiale,"2,0",**,,
20,1,Contribution totale (%),"90,4",,,
21,1,8,,,,
21,1,12,,,,
21,1,80,,,,
21,1,,,,,
21,2,20,,,,
21,2,19,,,,
21,2,61,,,,
21,2,,,,,
21,3,99,,,,
21,3,,,,,
21,4,9,,,,
21,4,87,,,,
21,4,,,,,
23,1,Raisons de non-utilisation de la contraception,Femmes (%),,,
