page,table_id,col_1
1,1,ESSAIS
1,1,"UNE REVUE DE LA RÉPARTITION
ET DE L’EXTENSION DES GLACIATIONS
PLÉISTOCÈNES ET DES GLACIERS
ACTUELS EN TURQUIE*
Attila ÇINER**, Département de géologie, Université Hacettepe, Beytepe, 06532-Ankara, Turquie."
2,1,"Location map indicating the most important glaciers and glacier-rela-
ted landforms in Turkey."
2,1,
4,1,,
4,2,,"l
*"
5,1,,
5,2,,
8,1,"FIGURE 10.Dépression en forme d’entonnoir ou de chaudron (de
20m de diamètre) résultant de l’ablation d’une épaisse masse de
glace sous les sédiments, dans la vallée de Susam (Taurus central).
Un cercle entoure la personne qui tient lieu d’échelle.
Large kettle hole (20m in diameter) resulting from the ablation of a
thick ice mass below the sediments, Susam valley, Central Taurus
Mountains.The circled person indicates the scale.
FIGURE 11.Galets glaciaires en forme de fer à repasser(F) et en
forme de balle(B) indiquant un transport sous-glaciaire (échantillons
ramassés dans la vallée de Namaras, dans le Taurus central).
Sub-glacially transported flat iron-(F) and bullet-shaped(B) clasts
(collected in Namaras valley, Central Taurus Mountains).
FIGURE 12.Les vallées glaciaires en U sont très typiques de la
chaîne des Pontides (vallée de Çermeç, près du mont Verçenik).
U shaped glacial valleys are typical of Pontides (Çermeç valley near
Mount Verçenik).
FIGURE 13.Vue sud du mont Ararat (5165m).La ligne des neiges
permanentes est autour de 4300m et la calotte glaciaire est approxi-
mativement 200m plus haut.Photo prise au mois de juin.
Southern view of Mount Ararat (5165m).Permanent snowline is
around 4300m and the ice cap is a few hundred metres higher
Picture taken in June.
FIGURE 14.Langue glaciaire descendant de la calotte glaciaire du
mont Ararat.
Glacier tongue descending from Mount Ararat’s ice cap.
FIGURE 15.Volcan d’Erciyes (3917m) en Cappadoce.Remarquer le
glacier(G) face au nord-ouest, une moraine latérale(M) d’approxi-
mativement 100m de haut et la plaine d’inondation glaciaire(D) cou-
verte de blocs d’andésite d’une taille allant jusqu’à 4m de diamètre,
dans la vallée d’Aksu."
8,1,"Erciyes volcano (3917m) in Cappadocia.Note the northwestern
facing glacier(G), an approximately 100m high lateral moraine(M)"
8,1,"and the younger glacial outwash plain(D) covered with blocks up to
4m in diameter in Aksu valley."
10,1,"FIGURE 16.Stries et gouttières glaciaires sur un bloc d’andésite dans
la vallée d’Aksu (volcan d’Erciyes).
Glacial striations and grooves on an andesite boulder in Aksu valley
(Erciyes volcano).
FIGURE 17.Fractures de broutages créées par le glacier (vallée
d’Aksu, volcan d’Erciyes).Le sens presumé du mouvement est de
bas en haut.
Crescentic gauges created by the glacier in Aksu valley (Erciyes vol-"
10,1,"cano).Inferred ice movement is from the bottom towards the top of the
picture."
